project,phase,k_smell_types,count,status
54_db-everywhere,before,4,8,ok
54_db-everywhere,before,5,2,ok
54_db-everywhere,after,1,254,ok
54_db-everywhere,after,2,371,ok
54_db-everywhere,after,3,147,ok
54_db-everywhere,after,4,11,ok
55_lavalamp,before,1,53,ok
55_lavalamp,before,2,61,ok
55_lavalamp,before,3,20,ok
55_lavalamp,after,1,50,ok
55_lavalamp,after,2,52,ok
55_lavalamp,after,3,18,ok
56_jhandballmoves,before,1,111,ok
56_jhandballmoves,before,2,151,ok
56_jhandballmoves,before,3,119,ok
56_jhandballmoves,before,4,47,ok
56_jhandballmoves,before,5,4,ok
56_jhandballmoves,before,6,1,ok
56_jhandballmoves,after,1,104,ok
56_jhandballmoves,after,2,135,ok
56_jhandballmoves,after,3,119,ok
56_jhandballmoves,after,4,28,ok
56_jhandballmoves,after,5,2,ok
57_hft-bomberman,before,1,153,ok
57_hft-bomberman,before,2,156,ok
57_hft-bomberman,before,3,99,ok
57_hft-bomberman,before,4,23,ok
57_hft-bomberman,before,5,2,ok
57_hft-bomberman,after,1,152,ok
57_hft-bomberman,after,2,119,ok
57_hft-bomberman,after,3,69,ok
57_hft-bomberman,after,4,8,ok
58_fps370,before,1,15,ok
58_fps370,before,2,17,ok
58_fps370,before,3,7,ok
58_fps370,after,1,13,ok
58_fps370,after,2,13,ok
58_fps370,after,3,4,ok
59_mygrid,before,1,137,ok
59_mygrid,before,2,62,ok
59_mygrid,before,3,100,ok
59_mygrid,before,4,15,ok
59_mygrid,after,1,101,ok
59_mygrid,after,2,86,ok
59_mygrid,after,3,84,ok
59_mygrid,after,4,3,ok
60_sugar,before,1,67,ok
60_sugar,before,2,65,ok
60_sugar,before,3,35,ok
60_sugar,before,4,7,ok
60_sugar,after,1,73,ok
60_sugar,after,2,40,ok
60_sugar,after,3,38,ok
60_sugar,after,4,7,ok
61_noen,before,1,415,ok
61_noen,before,2,544,ok
61_noen,before,3,171,ok
61_noen,before,4,73,ok
61_noen,before,5,5,ok
61_noen,before,6,3,ok
61_noen,before,7,1,ok
61_noen,after,1,359,ok
61_noen,after,2,427,ok
61_noen,after,3,146,ok
61_noen,after,4,41,ok
61_noen,after,5,6,ok
61_noen,after,6,1,ok
63_objectexplorer,before,1,201,ok
63_objectexplorer,before,2,110,ok
63_objectexplorer,before,3,29,ok
63_objectexplorer,before,4,3,ok
63_objectexplorer,after,1,202,ok
63_objectexplorer,after,2,100,ok
63_objectexplorer,after,3,21,ok
63_objectexplorer,after,4,2,ok
65_gsftp,before,1,21,ok
65_gsftp,before,2,31,ok
65_gsftp,before,3,6,ok
65_gsftp,after,1,18,ok
65_gsftp,after,2,21,ok
65_gsftp,after,3,12,ok
67_gae-app-manager,before,1,5,ok
67_gae-app-manager,before,2,14,ok
67_gae-app-manager,before,3,6,ok
67_gae-app-manager,after,1,3,ok
67_gae-app-manager,after,2,11,ok
67_gae-app-manager,after,3,3,ok
67_gae-app-manager,after,4,3,ok
68_biblestudy,before,1,68,ok
68_biblestudy,before,2,46,ok
68_biblestudy,before,3,48,ok
68_biblestudy,before,4,10,ok
68_biblestudy,before,5,6,ok
68_biblestudy,after,1,65,ok
68_biblestudy,after,2,42,ok
68_biblestudy,after,3,43,ok
68_biblestudy,after,4,7,ok
68_biblestudy,after,5,2,ok
69_lhamacaw,before,1,326,ok
69_lhamacaw,before,2,272,ok
69_lhamacaw,before,3,126,ok
69_lhamacaw,before,4,69,ok
69_lhamacaw,before,5,5,ok
69_lhamacaw,before,6,2,ok
69_lhamacaw,after,1,320,ok
