project,smell_type,count_before,count_after,delta,status
18_jsecurity,Not null assertion,22,7,-15,ok
18_jsecurity,Testing only field accesors,115,118,3,ok
18_jsecurity,Testing the same exception scenario,87,64,-23,ok
19_jmca,Asserting object initialization multiple times,145,150,5,ok
19_jmca,Duplicated Setup,174,135,-39,ok
19_jmca,Exceptions due to external dependencies,35,0,-35,ok
19_jmca,Exceptions due to incomplete setup,60,11,-49,ok
19_jmca,Exceptions due to null arguments,31,6,-25,ok
19_jmca,Multiple calls to the same void method,47,82,35,ok
19_jmca,Not asserted return values,57,57,0,ok
19_jmca,Not asserted side effects,73,132,59,ok
19_jmca,Not null assertion,2,11,9,ok
19_jmca,Testing only field accesors,23,24,1,ok
19_jmca,Testing the same exception scenario,122,8,-114,ok
20_nekomud,Asserting object initialization multiple times,7,7,0,ok
20_nekomud,Duplicated Setup,2,0,-2,ok
20_nekomud,Exceptions due to incomplete setup,1,0,-1,ok
20_nekomud,Exceptions due to null arguments,2,1,-1,ok
20_nekomud,Not asserted side effects,4,4,0,ok
20_nekomud,Not null assertion,0,1,1,ok
20_nekomud,Testing only field accesors,5,4,-1,ok
21_geo-google,Asserting object initialization multiple times,540,379,-161,ok
21_geo-google,Duplicated Setup,26,15,-11,ok
21_geo-google,Exceptions due to incomplete setup,1,1,0,ok
21_geo-google,Exceptions due to null arguments,2,2,0,ok
21_geo-google,Multiple calls to the same void method,163,263,100,ok
21_geo-google,Not asserted return values,10,61,51,ok
21_geo-google,Not asserted side effects,384,432,48,ok
21_geo-google,Not null assertion,82,3,-79,ok
21_geo-google,Testing only field accesors,752,735,-17,ok
21_geo-google,Testing the same exception scenario,2,2,0,ok
22_byuic,Asserting Constants,9,2,-7,ok
22_byuic,Asserting object initialization multiple times,139,123,-16,ok
22_byuic,Duplicated Setup,123,120,-3,ok
22_byuic,Exceptions due to incomplete setup,2,0,-2,ok
22_byuic,Exceptions due to null arguments,19,12,-7,ok
22_byuic,Multiple calls to the same void method,20,25,5,ok
22_byuic,Not asserted return values,11,107,96,ok
22_byuic,Not asserted side effects,23,29,6,ok
22_byuic,Not null assertion,0,12,12,ok
22_byuic,Testing only field accesors,12,9,-3,ok
22_byuic,Testing the same exception scenario,128,13,-115,ok
23_jwbf,Asserting object initialization multiple times,26,19,-7,ok
23_jwbf,Duplicated Setup,2,0,-2,ok
23_jwbf,Not asserted return values,2,0,-2,ok
23_jwbf,Not null assertion,0,1,1,ok
23_jwbf,Testing only field accesors,3,3,0,ok
24_saxpath,Asserting object initialization multiple times,112,107,-5,ok
24_saxpath,Duplicated Setup,2,0,-2,ok
24_saxpath,Multiple calls to the same void method,10,2,-8,ok
24_saxpath,Not asserted return values,8,11,3,ok
24_saxpath,Not asserted side effects,11,2,-9,ok
24_saxpath,Not null assertion,13,2,-11,ok
24_saxpath,Testing only field accesors,2,2,0,ok
24_saxpath,Testing the same exception scenario,26,3,-23,ok
25_jni-inchi,Asserting Constants,2,0,-2,ok
25_jni-inchi,Asserting object initialization multiple times,141,151,10,ok
25_jni-inchi,Duplicated Setup,26,19,-7,ok
25_jni-inchi,Exceptions due to incomplete setup,4,1,-3,ok
25_jni-inchi,Exceptions due to null arguments,4,0,-4,ok
25_jni-inchi,Not asserted return values,38,43,5,ok
25_jni-inchi,Not asserted side effects,19,13,-6,ok
25_jni-inchi,Not null assertion,1,14,13,ok
25_jni-inchi,Testing only field accesors,60,51,-9,ok
25_jni-inchi,Testing the same exception scenario,21,0,-21,ok
26_jipa,Asserting object initialization multiple times,9,7,-2,ok
26_jipa,Not null assertion,0,1,1,ok
26_jipa,Testing the same exception scenario,18,0,-18,ok
27_gangup,Asserting Constants,9,13,4,ok
27_gangup,Asserting object initialization multiple times,201,182,-19,ok
27_gangup,Duplicated Setup,105,84,-21,ok
27_gangup,Exceptions due to incomplete setup,26,6,-20,ok
27_gangup,Exceptions due to null arguments,20,9,-11,ok
27_gangup,Multiple calls to the same void method,80,82,2,ok
27_gangup,Not asserted return values,21,17,-4,ok
27_gangup,Not asserted side effects,140,131,-9,ok
27_gangup,Not null assertion,1,23,22,ok
27_gangup,Testing only field accesors,80,94,14,ok
27_gangup,Testing the same exception scenario,24,2,-22,ok
28_greencow,Asserting object initialization multiple times,1,1,0,ok
28_greencow,Not null assertion,0,1,1,ok
29_apbsmem,Asserting Constants,1,3,2,ok
29_apbsmem,Asserting object initialization multiple times,125,118,-7,ok
29_apbsmem,Duplicated Setup,80,69,-11,ok
29_apbsmem,Exceptions due to incomplete setup,24,5,-19,ok
