project,key,method,count_before,count_after,delta,validity_ok,success
1_tullibee,tullibee.ExecutionFilter,test2,2,2,0,1,0
1_tullibee,tullibee.EReader,test49,1,1,0,0,0
1_tullibee,tullibee.EClientSocket,test06,1,0,-1,1,1
1_tullibee,tullibee.Order,test49,2,2,0,1,0
1_tullibee,tullibee.ContractDetails,test1,1,1,0,1,0
1_tullibee,tullibee.EClientSocket,test17,2,1,-1,1,1
1_tullibee,tullibee.ScannerSubscription,test11,2,5,3,1,0
1_tullibee,tullibee.EClientSocket,test03,2,0,-2,1,1
1_tullibee,tullibee.EReader,test29,1,1,0,0,0
1_tullibee,tullibee.EClientSocket,test14,1,0,-1,1,1
1_tullibee,tullibee.Order,test29,2,2,0,1,0
1_tullibee,tullibee.EReader,test20,3,2,-1,1,1
1_tullibee,tullibee.EClientSocket,test02,1,0,-1,1,1
1_tullibee,tullibee.Util,test09,1,1,0,1,0
1_tullibee,tullibee.EClientSocket,test19,1,0,-1,1,1
1_tullibee,tullibee.EClientSocket,test21,2,1,-1,1,1
1_tullibee,tullibee.TickType,test24,1,0,-1,1,1
1_tullibee,tullibee.TickType,test34,1,1,0,1,0
1_tullibee,tullibee.EClientSocket,test18,1,0,-1,1,1
1_tullibee,tullibee.EReader,test58,2,2,0,1,0
1_tullibee,tullibee.ComboLeg,test4,1,1,0,1,0
1_tullibee,tullibee.Order,test58,2,2,0,1,0
1_tullibee,tullibee.TickType,test48,1,0,-1,1,1
1_tullibee,tullibee.EClientSocket,test36,1,0,-1,0,0
1_tullibee,tullibee.EReader,test46,3,2,-1,1,1
1_tullibee,tullibee.EReader,test43,1,1,0,0,0
1_tullibee,tullibee.ComboLeg,test5,1,1,0,1,0
1_tullibee,tullibee.Contract,test16,1,1,0,1,0
1_tullibee,tullibee.ScannerSubscription,test24,3,4,1,1,0
1_tullibee,tullibee.ExecutionFilter,test4,1,1,0,1,0
1_tullibee,tullibee.UnderComp,test1,2,1,-1,1,1
1_tullibee,tullibee.Order,test37,1,1,0,1,0
1_tullibee,tullibee.ScannerSubscription,test34,3,4,1,1,0
1_tullibee,tullibee.Contract,test12,2,2,0,1,0
1_tullibee,tullibee.EClientSocket,test44,1,1,0,0,0
1_tullibee,tullibee.EReader,test55,1,1,0,1,0
1_tullibee,tullibee.ScannerSubscription,test38,2,5,3,1,0
1_tullibee,tullibee.TickType,test12,1,1,0,1,0
1_tullibee,tullibee.EReader,test53,1,1,0,0,0
1_tullibee,tullibee.Order,test55,2,2,0,1,0
1_tullibee,tullibee.EReader,test56,1,1,0,1,0
1_tullibee,tullibee.Order,test53,2,2,0,1,0
1_tullibee,tullibee.Order,test41,2,2,0,1,0
1_tullibee,tullibee.EClientSocket,test09,1,0,-1,1,1
1_tullibee,tullibee.UnderComp,test3,1,1,0,1,0
1_tullibee,tullibee.TickType,test07,1,0,-1,1,1
