project,smell_type,count_before,count_after,delta,test_methods,loc_tests,density_before_tests,density_after_tests,delta_density_tests,density_before_loc,density_after_loc,delta_density_loc,status
6_jnfe,Testing the same exception scenario,5,5,0,141,1883,0.03546099,0.03546099,0.00000000,0.00265534,0.00265534,0.00000000,ok
7_sfmis,Asserting object initialization multiple times,68,63,-5,154,1606,0.44155844,0.40909091,-0.03246753,0.04234122,0.03922790,-0.00311333,ok
7_sfmis,Duplicated Setup,14,24,10,154,1606,0.09090909,0.15584416,0.06493506,0.00871731,0.01494396,0.00622665,ok
7_sfmis,Exceptions due to incomplete setup,10,10,0,154,1606,0.06493506,0.06493506,0.00000000,0.00622665,0.00622665,0.00000000,ok
7_sfmis,Exceptions due to null arguments,5,5,0,154,1606,0.03246753,0.03246753,0.00000000,0.00311333,0.00311333,0.00000000,ok
7_sfmis,Multiple calls to the same void method,6,10,4,154,1606,0.03896104,0.06493506,0.02597403,0.00373599,0.00622665,0.00249066,ok
7_sfmis,Not asserted return values,16,5,-11,154,1606,0.10389610,0.03246753,-0.07142857,0.00996264,0.00311333,-0.00684932,ok
7_sfmis,Not asserted side effects,45,31,-14,154,1606,0.29220779,0.20129870,-0.09090909,0.02801993,0.01930262,-0.00871731,ok
7_sfmis,Not null assertion,0,4,4,154,1606,0.00000000,0.02597403,0.02597403,0.00000000,0.00249066,0.00249066,ok
7_sfmis,Testing only field accesors,95,92,-3,154,1606,0.61688312,0.59740260,-0.01948052,0.05915318,0.05728518,-0.00186800,ok
7_sfmis,Testing the same exception scenario,14,12,-2,154,1606,0.09090909,0.07792208,-0.01298701,0.00871731,0.00747198,-0.00124533,ok
8_gfarcegestionfa,Asserting object initialization multiple times,75,64,-11,165,2345,0.45454545,0.38787879,-0.06666667,0.03198294,0.02729211,-0.00469083,ok
8_gfarcegestionfa,Duplicated Setup,25,10,-15,165,2345,0.15151515,0.06060606,-0.09090909,0.01066098,0.00426439,-0.00639659,ok
8_gfarcegestionfa,Exceptions due to external dependencies,1,1,0,165,2345,0.00606061,0.00606061,0.00000000,0.00042644,0.00042644,0.00000000,ok
8_gfarcegestionfa,Exceptions due to incomplete setup,9,3,-6,165,2345,0.05454545,0.01818182,-0.03636364,0.00383795,0.00127932,-0.00255864,ok
8_gfarcegestionfa,Exceptions due to null arguments,11,4,-7,165,2345,0.06666667,0.02424242,-0.04242424,0.00469083,0.00170576,-0.00298507,ok
8_gfarcegestionfa,Multiple calls to the same void method,8,7,-1,165,2345,0.04848485,0.04242424,-0.00606061,0.00341151,0.00298507,-0.00042644,ok
8_gfarcegestionfa,Not asserted return values,7,6,-1,165,2345,0.04242424,0.03636364,-0.00606061,0.00298507,0.00255864,-0.00042644,ok
8_gfarcegestionfa,Not asserted side effects,35,26,-9,165,2345,0.21212121,0.15757576,-0.05454545,0.01492537,0.01108742,-0.00383795,ok
8_gfarcegestionfa,Not null assertion,0,6,6,165,2345,0.00000000,0.03636364,0.03636364,0.00000000,0.00255864,0.00255864,ok
8_gfarcegestionfa,Testing only field accesors,46,35,-11,165,2345,0.27878788,0.21212121,-0.06666667,0.01961620,0.01492537,-0.00469083,ok
8_gfarcegestionfa,Testing the same exception scenario,8,0,-8,165,2345,0.04848485,0.00000000,-0.04848485,0.00341151,0.00000000,-0.00341151,ok
9_falselight,Asserting object initialization multiple times,8,4,-4,15,196,0.53333333,0.26666667,-0.26666667,0.04081633,0.02040816,-0.02040816,ok
9_falselight,Not asserted return values,0,3,3,15,196,0.00000000,0.20000000,0.20000000,0.00000000,0.01530612,0.01530612,ok
9_falselight,Not null assertion,0,3,3,15,196,0.00000000,0.20000000,0.20000000,0.00000000,0.01530612,0.01530612,ok
10_water-simulator,Asserting Constants,17,6,-11,223,2728,0.07623318,0.02690583,-0.04932735,0.00623167,0.00219941,-0.00403226,ok
